as_of,B12997,B01157,B09833,B06061,B11293,B05947,B13835,B14040,B04313,B11222,B08385,B11999,B02396,B04312,B07347,B13177,B04841,B13086,B00241,B07223,B03193,B15709,B04687,B05548,B05011,B13104,B06753,B08336,B10749,B10612,B14867,B10363,B14965,B09417,B07245,B04762,B12844,B09550,B15851,B14908,B13135,B06850,B00774,B00450,B03777,B05350,B02390,B15191,B06096,B11505
2023-10-31,109.818,60.8111,220.527,36.9878,140.71,123.521,117.441,186.509,174.695,144.89,109.549,89.7272,190.609,207.74,53.8973,108.785,4349.74,202.728,91.1966,463.966,948.817,83.3693,5744.96,150.381,206.803,161.21,191.09,189.444,114.554,284.07,293.753,122.093,537.936,84.7094,83.9742,134.931,70.9894,33.1865,24.4269,67.3692,443.587,184.214,92.7818,41.9069,34.1292,86.7901,286.681,41.2473,69.2908,234.953
2023-10-30,108.93,60.3883,218.474,36.6875,138.994,122.282,116.295,184.485,172.733,144.021,108.543,88.6321,189.844,205.311,53.4245,107.763,4318.22,202.226,91.1966,460.625,942.56,82.7055,5715.4,149.406,205.332,159.825,189.466,188.208,113.951,281.829,293.753,122.24,536.238,84.8151,84.0821,134.909,71.0616,33.1825,24.4269,67.4394,443.888,184.425,92.8963,41.8467,34.1642,86.8823,286.681,41.2411,69.4901,235.295
2023-10-29,108.117,60.0039,216.633,36.3872,138.565,121.22,115.86,183.051,172.243,143.818,107.691,88.0846,188.094,204.947,53.1881,107.051,4297.21,203.073,90.2265,454.263,932.036,81.5771,5656.28,147.614,203.164,157.677,187.09,185.958,112.669,278.541,294.644,122.466,536.152,85.0265,84.298,135.11,71.2153,33.2556,24.4902,67.5582,444.79,184.636,93.022,41.8955,34.2387,87.0567,287.109,41.2332,69.8079,235.672
2023-10-28,108.117,60.0039,216.633,36.3872,138.565,121.22,115.86,183.051,172.243,143.818,107.691,88.0846,188.094,204.947,53.1881,107.051,4297.21,203.073,90.2265,454.263,932.036,81.5771,5656.28,147.614,203.164,157.677,187.09,185.958,112.669,278.541,294.644,122.466,536.152,85.0265,84.298,135.11,71.2153,33.2556,24.4902,67.5582,444.79,184.636,93.022,41.8955,34.2387,87.0567,287.109,41.2332,69.8079,235.672
2023-10-27,108.117,60.0039,216.633,36.3872,138.565,121.22,115.86,183.051,172.243,143.818,107.691,88.0846,188.094,204.947,53.1881,107.051,4297.21,203.073,90.2265,454.263,932.036,81.5771,5656.28,147.614,203.164,157.677,187.09,185.958,112.669,278.541,294.644,122.466,536.152,85.0265,84.298,135.11,71.2153,33.2556,24.4902,67.5582,444.79,184.636,93.022,41.8955,34.2387,87.0567,287.109,41.2332,69.8079,235.672
2023-10-26,109.448,60.6189,219.111,36.8043,139.209,122.223,116.387,184.569,172.733,144.803,108.85,88.6664,190.062,205.433,53.4245,108.252,4328.73,205.081,90.5037,457.444,934.596,81.9754,5735.11,148.306,205.1,158.779,186.037,186.856,113.762,281.082,294.369,122.347,535.953,85.0265,84.19,135.045,71.1889,33.2438,24.4902,67.5582,444.385,184.636,92.9888,41.8841,34.2258,87.1491,286.837,41.2153,69.9977,235.983
2023-10-25,109.078,60.7727,218.474,36.454,139.638,122.341,117.51,183.895,175.308,146.367,108.799,89.0086,189.625,208.59,53.5427,108.118,4323.47,205.708,90.7809,461.103,946.257,82.5727,5754.82,150.098,206.649,160.588,189.376,189.092,114.629,280.783,292.17,121.616,535.87,84.498,83.8662,133.907,70.6119,33.0089,24.3319,67.2088,441.511,183.58,92.4293,41.6172,33.9852,86.726,285.272,41.0283,69.2792,234.726
2023-10-24,109.965,61.849,221.447,36.6875,144.357,124.466,120.076,186.931,179.476,150.451,111.169,90.1721,192.031,213.446,54.6064,109.496,4444.3,209.818,92.3054,468.578,965.313,83.9003,5823.8,152.269,207.113,162.877,194.218,191.836,115.497,283.921,294.644,122.401,537.395,85.0265,84.298,135.004,71.1709,33.2745,24.5218,67.5582,444.988,184.847,93.0348,41.8765,34.2173,87.2301,287.122,41.3861,70.3607,236.327
2023-10-23,109.522,61.4646,219.677,36.4373,142.855,123.816,119.16,186.214,178.986,148.974,110.18,89.8299,190.719,212.96,54.1336,109.23,4402.27,208.94,93.2756,466.192,957.918,83.4357,5794.24,151.168,205.565,162.086,192.474,190.445,114.969,282.576,293.819,122.145,534.893,84.9736,84.029,134.76,70.9995,33.1551,24.4585,67.4883,443.172,184.151,92.8182,41.8727,34.1343,86.8072,285.984,41.1978,69.6422,235.07
2023-10-22,110.557,61.849,221.235,36.771,143.713,125.056,119.595,187.732,179.599,149.93,111.067,90.5485,192.687,213.81,54.37,110.074,4439.05,210.414,93.2756,467.942,957.634,83.8339,5843.51,151.419,206.416,162.453,192.173,190.77,115.685,284.07,292.445,121.727,534.807,84.6037,83.7062,134.068,70.747,32.9972,24.3636,67.2088,441.609,183.519,92.4631,41.6584,33.9724,86.3628,284.988,41.01,68.9782,234.222
2023-10-21,110.557,61.849,221.235,36.771,143.713,125.056,119.595,187.732,179.599,149.93,111.067,90.5485,192.687,213.81,54.37,110.074,4439.05,210.414,93.2756,467.942,957.634,83.8339,5843.51,151.419,206.416,162.453,192.173,190.77,115.685,284.07,292.445,121.727,534.807,84.6037,83.7062,134.068,70.747,32.9972,24.3636,67.2088,441.609,183.519,92.4631,41.6584,33.9724,86.3628,284.988,41.01,68.9782,234.222
2023-10-20,110.557,61.849,221.235,36.771,143.713,125.056,119.595,187.732,179.599,149.93,111.067,90.5485,192.687,213.81,54.37,110.074,4439.05,210.414,93.2756,467.942,957.634,83.8339,5843.51,151.419,206.416,162.453,192.173,190.77,115.685,284.07,292.445,121.727,534.807,84.6037,83.7062,134.068,70.747,32.9972,24.3636,67.2088,441.609,183.519,92.4631,41.6584,33.9724,86.3628,284.988,41.01,68.9782,234.222
2023-10-19,111.666,62.5793,223.996,37.1547,145.429,126.295,121.428,189.84,182.05,153.174,112.55,91.8489,194.655,216.603,54.961,111.364,4502.09,212.924,94.2458,473.35,967.873,84.6304,5902.63,153.37,208.584,164.346,195.031,193.189,116.967,287.657,291.345,121.276,535.357,84.2866,83.491,133.559,70.3955,32.9082,24.3319,66.9992,440.5,183.098,92.1556,41.4891,33.8808,86.2488,284.276,40.81,68.8408,233.717
2023-10-18,113.293,63.425,226.828,37.6719,147.789,127.712,123.009,191.654,184.134,154.42,114.221,92.636,197.389,219.031,55.6702,112.742,4565.13,216.061,94.8002,478.121,976.121,85.2278,5971.61,154.659,210.52,165.137,195.843,194.827,117.872,290.795,292.995,121.817,536.879,84.7094,83.9214,133.985,70.7117,33.058,24.4269,67.2088,442.565,183.94,92.4871,41.6959,34.0341,86.7532,285.699,41.1658,69.9222,234.91
2023-10-17,115.142,64.6551,231.642,38.3225,151.006,130.308,125.736,195.28,187.935,159.228,116.881,94.3812,200.779,223.645,56.6157,114.876,4670.19,220.61,96.0475,485.756,992.333,86.4226,6040.59,156.767,212.998,166.607,199.151,197.48,119.23,295.726,294.369,122.277,539.205,85.185,84.2442,134.635,71.0275,33.2079,24.5218,67.4184,444.983,184.782,92.8875,41.7973,34.1874,87.2578,287.264,41.3414,70.5673,236.103
2023-10-16,114.181,64.2707,230.014,38.0222,149.505,129.128,125.278,193.888,187.69,157.519,115.858,93.8679,199.467,223.402,56.3794,113.987,4628.17,219.543,95.6318,485.12,989.773,86.1571,6011.03,156.767,212.765,166.579,198.971,197.493,118.777,293.485,297.117,123.218,540.731,85.872,84.7821,135.954,71.6687,33.4733,24.68,67.9075,448.107,186.045,93.5616,42.1093,34.459,87.7623,289.256,41.6987,71.2669,237.704
2023-10-15,112.628,63.3481,226.545,37.5551,147.36,127.003,123.468,191.401,185.115,154.275,113.931,92.5676,197.717,220.367,55.7884,112.564,4544.11,216.469,94.8002,479.871,977.827,85.2278,5951.9,155.131,210.675,164.77,196.204,195.425,117.495,290.346,298.767,123.761,541.447,86.3476,85.2125,136.604,72.0657,33.6233,24.7749,68.1869,450.424,187.097,94.0302,42.3162,34.6518,88.2453,290.679,41.8743,71.9666,238.896
2023-10-14,112.628,63.3481,226.545,37.5551,147.36,127.003,123.468,191.401,185.115,154.275,113.931,92.5676,197.717,220.367,55.7884,112.564,4544.11,216.469,94.8002,479.871,977.827,85.2278,5951.9,155.131,210.675,164.77,196.204,195.425,117.495,290.346,298.767,123.761,541.447,86.3476,85.2125,136.604,72.0657,33.6233,24.7749,68.1869,450.424,187.097,94.0302,42.3162,34.6518,88.2453,290.679,41.8743,71.9666,238.896
2023-10-13,112.628,63.3481,226.545,37.5551,147.36,127.003,123.468,191.401,185.115,154.275,113.931,92.5676,197.717,220.367,55.7884,112.564,4544.11,216.469,94.8002,479.871,977.827,85.2278,5951.9,155.131,210.675,164.77,196.204,195.425,117.495,290.346,298.767,123.761,541.447,86.3476,85.2125,136.604,72.0657,33.6233,24.7749,68.1869,450.424,187.097,94.0302,42.3162,34.6518,88.2453,290.679,41.8743,71.9666,238.896
2023-10-12,112.776,63.6941,227.465,37.6218,148.432,127.534,124.293,192.244,187.077,157.461,115.022,93.0466,198.264,222.674,56.0248,113.142,4565.13,217.975,95.3546,481.78,985.791,85.2278,5961.76,155.917,210.442,165.25,197.136,196.401,117.495,292.14,297.117,123.144,541.198,85.9777,84.7821,136.094,71.7147,33.4573,24.68,67.9075,448.256,186.045,93.5856,42.0942,34.4815,87.8223,289.398,41.6743,71.1749,237.575
2023-10-11,114.033,64.6166,231.005,38.089,152.293,129.954,125.988,195.617,190.387,160.126,117.307,94.4497,200.998,226.68,56.9703,114.565,4685.95,221.332,96.3247,487.029,995.746,86.0243,6001.17,156.892,211.759,166.579,198.971,197.623,118.4,294.979,300.141,124.164,543.531,86.6118,85.4277,137.191,72.3543,33.7613,24.8698,68.3965,452.085,187.729,94.3281,42.4062,34.7925,88.533,291.817,42.0315,72.4703,239.584
2023-10-10,113.737,64.4244,229.943,37.9388,152.507,129.718,125.667,195.069,190.387,159.836,117.136,94.3812,200.233,226.68,56.9703,113.987,4696.46,221.238,95.6318,484.166,992.901,85.6925,5981.46,156.2,210.83,166.692,198.249,196.765,118.136,293.186,298.492,123.589,542.64,86.3476,84.9973,136.5,72.0208,33.6034,24.7749,68.1869,449.917,186.676,93.9746,42.1919,34.6307,88.1101,290.394,41.6621,71.5337,238.327
2023-10-09,113.145,63.9247,227.748,37.7219,150.363,128.774,124.361,194.141,188.67,157.316,115.858,93.5257,198.92,224.616,56.4976,113.186,4649.18,219.167,95.3546,481.462,984.938,85.2942,5951.9,155.383,209.978,165.957,197.286,195.738,117.684,291.243,298.217,123.416,539.335,85.6606,84.8897,136.255,71.8497,33.4453,24.68,68.1171,449.866,186.255,93.9638,42.1881,34.6265,87.172,289.968,41.6563,71.1969,237.887
2023-10-08,112.332,63.4634,226.474,37.4883,150.363,128.656,123.399,192.961,187.69,156.216,115.125,92.7044,197.389,223.402,56.2612,112.164,4628.17,218.038,94.6616,479.553,981.809,84.6304,5912.48,154.408,208.507,165.307,196.655,194.515,116.741,289.151,295.468,122.438,538.446,85.6606,84.2442,135.34,71.3538,33.3259,24.5534,67.5582,445.833,184.993,93.1309,41.9249,34.3071,87.1398,287.691,41.2869,70.2058,235.813
2023-10-07,112.332,63.4634,226.474,37.4883,150.363,128.656,123.399,192.961,187.69,156.216,115.125,92.7044,197.389,223.402,56.2612,112.164,4628.17,218.038,94.6616,479.553,981.809,84.6304,5912.48,154.408,208.507,165.307,196.655,194.515,116.741,289.151,295.468,122.438,538.446,85.6606,84.2442,135.34,71.3538,33.3259,24.5534,67.5582,445.833,184.993,93.1309,41.9249,34.3071,87.1398,287.691,41.2869,70.2058,235.813
