as_of,B00241,B07223,B03193,B15709,B04687,B05548,B05011,B13104,B06753,B08336,B10749,B10612
1/1/2000,89.3545,113.03,184.579,12.52,1307.54,35.1367,37.5741,23.9877,60.2138,42.7704,18.2435,51.1804
1/2/2000,89.3545,113.03,184.579,12.52,1307.54,35.1367,37.5741,23.9877,60.2138,42.7704,18.2435,51.1804
1/3/2000,90.3965,115.667,182.318,12.44,1285.74,34.8019,37.2206,23.556,59.9431,42.3599,17.8132,49.9717
1/4/2000,86.4021,110.484,176.225,12.03,1256.69,33.4748,36.3681,22.925,57.3078,40.7423,17.3507,48.5742
1/5/2000,85.7942,110.211,176.028,12.15,1253.06,33.5368,36.4928,23.091,57.0087,40.8162,17.5012,49.1785
1/6/2000,85.0127,107.938,176.618,12.28,1274.85,33.574,36.472,23.2017,56.5101,40.8573,17.7917,49.7829
1/7/2000,86.6626,112.303,180.746,12.6,1307.54,34.4918,37.2206,24.0762,58.7751,41.9739,18.1789,50.7271
1/8/2000,86.6626,112.303,180.746,12.6,1307.54,34.4918,37.2206,24.0762,58.7751,41.9739,18.1789,50.7271
1/9/2000,86.6626,112.303,180.746,12.6,1307.54,34.4918,37.2206,24.0762,58.7751,41.9739,18.1789,50.7271
1/10/2000,88.7466,116.031,186.643,12.73,1311.17,34.8763,37.5117,24.209,60.3278,42.4502,18.1144,50.5761
1/11/2000,87.6178,112.575,184.186,12.88,1296.64,34.4174,37.1998,24.209,59.4446,41.8918,17.9208,50.085
1/12/2000,87.7914,111.757,183.105,12.86,1296.64,34.2686,37.0751,24.043,58.9033,41.7112,17.9423,50.2361
1/13/2000,88.6598,115.394,186.053,13.01,1311.17,34.6903,37.4493,24.4083,59.9289,42.2121,18.1251,50.8782
1/14/2000,89.8755,117.577,188.019,13.06,1314.8,35.0499,37.6573,24.7183,61.0685,42.6719,18.1789,51.1426
1/15/2000,89.8755,117.577,188.019,13.06,1314.8,35.0499,37.6573,24.7183,61.0685,42.6719,18.1789,51.1426
1/16/2000,89.8755,117.577,188.019,13.06,1314.8,35.0499,37.6573,24.7183,61.0685,42.6719,18.1789,51.1426
1/17/2000,89.8755,117.577,188.019,13.06,1314.8,35.0499,37.6573,24.7183,61.0685,42.6719,18.1789,51.1426
1/18/2000,89.3545,120.032,187.036,12.96,1303.9,34.8143,37.5741,24.1316,60.8691,42.3845,18.0176,50.425
1/19/2000,89.7018,119.668,188.51,12.87,1303.9,34.8391,37.5741,24.2201,61.2679,42.4009,18.0714,50.4627
1/20/2000,89.094,120.577,187.724,12.74,1289.38,34.591,37.4701,23.9102,60.8548,42.1053,17.9638,49.6318
1/21/2000,88.9203,122.032,187.233,12.7,1282.11,34.4918,37.4077,23.8659,60.8264,41.9822,17.953,49.2918
1/22/2000,88.9203,122.032,187.233,12.7,1282.11,34.4918,37.4077,23.8659,60.8264,41.9822,17.953,49.2918
1/23/2000,88.9203,122.032,187.233,12.7,1282.11,34.4918,37.4077,23.8659,60.8264,41.9822,17.953,49.2918
1/24/2000,86.8362,118.577,184.972,12.62,1256.69,33.5368,36.7424,23.2239,59.003,40.8244,17.6411,48.1965
1/25/2000,87.0099,118.85,185.758,12.57,1245.79,33.7352,36.7631,23.6002,59.6298,41.0625,17.4475,47.8943
1/26/2000,85.2732,117.577,185.955,12.62,1256.69,33.5988,36.7424,23.6888,58.9602,40.8901,17.5981,48.2342
1/27/2000,85.0995,115.394,185.562,12.37,1253.06,33.4624,36.7008,23.7552,58.5756,40.7341,17.6303,48.2342
1/28/2000,81.9734,112.394,181.237,12.14,1234.9,32.5446,36.1601,23.1464,56.7808,39.6092,17.1785,47.2144
1/29/2000,81.9734,112.394,181.237,12.14,1234.9,32.5446,36.1601,23.1464,56.7808,39.6092,17.1785,47.2144
1/30/2000,81.9734,112.394,181.237,12.14,1234.9,32.5446,36.1601,23.1464,56.7808,39.6092,17.1785,47.2144
1/31/2000,83.4496,112.666,182.417,12.15,1260.32,33.3632,36.6192,23.2792,57.9916,40.6109,17.512,48.4231
2/1/2000,85.0995,115.758,185.365,12.22,1267.58,33.7228,36.8487,23.5006,59.3733,41.0461,17.5335,48.272
2/2/2000,85.4469,118.304,185.758,12.23,1271.22,33.7228,36.8696,23.5117,59.4446,41.0461,17.5335,48.0831
2/3/2000,87.0099,121.669,189.1,12.4,1274.85,34.1073,37.2034,23.9766,60.4417,41.5059,17.5981,48.2342
2/4/2000,86.6626,121.669,190.279,12.31,1267.58,34.0949,37.1199,24.0762,60.4702,41.4895,17.5012,47.9321
2/5/2000,86.6626,121.669,190.279,12.31,1267.58,34.0949,37.1199,24.0762,60.4702,41.4895,17.5012,47.9321
2/6/2000,86.6626,121.669,190.279,12.31,1267.58,34.0949,37.1199,24.0762,60.4702,41.4895,17.5012,47.9321
2/7/2000,88.1388,122.851,190.771,12.27,1260.32,34.0825,37.1199,23.9987,60.7124,41.4895,17.3937,47.6299
2/8/2000,88.7466,125.397,192.835,12.38,1267.58,34.5042,37.4121,24.5411,61.9232,42.0068,17.5443,47.8565
2/9/2000,86.9231,125.306,190.279,12.17,1245.79,33.7973,37.0156,24.209,61.04,41.1364,17.2861,46.9122
2/10/2000,87.3573,129.398,189.985,12.2,1231.26,33.9213,37.0156,24.2644,61.9232,41.2842,17.1678,46.6101
2/11/2000,85.6205,127.397,186.741,12,1213.1,33.2143,36.7026,23.8106,60.5272,40.4303,16.8558,46.119
2/12/2000,85.6205,127.397,186.741,12,1213.1,33.2143,36.7026,23.8106,60.5272,40.4303,16.8558,46.119
2/13/2000,85.6205,127.397,186.741,12,1213.1,33.2143,36.7026,23.8106,60.5272,40.4303,16.8558,46.119
2/14/2000,86.0547,129.216,186.348,11.9,1205.84,33.2763,36.6609,24.0209,60.7409,40.5124,16.9419,46.0435
2/15/2000,86.9231,131.399,186.152,11.99,1224,33.5616,36.7861,24.043,60.9688,40.8655,17.157,46.6856
2/16/2000,87.5309,132.49,184.776,11.94,1213.1,33.2267,36.6818,23.9102,60.1853,40.4549,17.0602,46.3079
2/17/2000,88.7466,135.763,186.348,12,1213.1,33.2391,36.6609,24.1426,60.513,40.4714,17.0495,45.9302
2/18/2000,87.1836,132.581,181.925,11.81,1176.78,32.2345,36.0558,23.4785,59.0315,39.2479,16.6407,44.797
2/19/2000,87.1836,132.581,181.925,11.81,1176.78,32.2345,36.0558,23.4785,59.0315,39.2479,16.6407,44.797
2/20/2000,87.1836,132.581,181.925,11.81,1176.78,32.2345,36.0558,23.4785,59.0315,39.2479,16.6407,44.797
2/21/2000,87.1836,132.581,181.925,11.81,1176.78,32.2345,36.0558,23.4785,59.0315,39.2479,16.6407,44.797
2/22/2000,86.5757,132.399,182.712,11.84,1187.68,32.3709,36.0767,23.6445,58.9602,39.4204,16.7052,45.0614
2/23/2000,88.573,137.036,184.186,11.78,1176.78,32.5818,36.1393,23.8548,60.6127,39.6749,16.5869,44.6837
2/24/2000,89.0071,141.401,185.169,11.55,1162.26,32.4082,36.0141,24.043,61.0685,39.4614,16.3718,43.9283
2/25/2000,88.6598,142.129,183.301,11.41,1154.99,31.9245,35.9098,23.3788,60.0714,38.8784,16.1567,43.3617
2/26/2000,88.6598,142.129,183.301,11.41,1154.99,31.9245,35.9098,23.3788,60.0714,38.8784,16.1567,43.3617
2/27/2000,88.6598,142.129,183.301,11.41,1154.99,31.9245,35.9098,23.3788,60.0714,38.8784,16.1567,43.3617
2/28/2000,87.8783,144.311,183.891,11.4,1165.89,32.2841,36.0982,23.6667,60.4702,39.3218,16.3503,43.8905
2/29/2000,89.2676,150.585,186.741,11.47,1184.05,32.7306,36.4123,23.9212,61.154,39.8391,16.5439,44.4949
3/1/2000,89.4413,152.859,188.805,11.57,1194.94,33.0407,36.7054,23.8659,61.6668,40.225,16.6945,45.0237
3/2/2000,89.2676,149.494,188.019,11.58,1194.94,33.1027,36.7263,23.3678,61.2537,40.3071,16.8236,44.7593
3/3/2000,91.178,154.768,191.361,11.84,1213.1,33.7601,37.0195,23.8327,62.8349,41.0954,16.9849,45.2881
3/4/2000,91.178,154.768,191.361,11.84,1213.1,33.7601,37.0195,23.8327,62.8349,41.0954,16.9849,45.2881
3/5/2000,91.178,154.768,191.361,11.84,1213.1,33.7601,37.0195,23.8327,62.8349,41.0954,16.9849,45.2881
3/6/2000,91.3517,154.95,189.395,11.69,1198.58,33.326,36.8101,23.2792,61.7808,40.5863,16.7268,44.6082
3/7/2000,89.615,153.404,185.955,11.36,1187.68,32.4702,36.3495,22.5597,59.9859,39.5435,16.3395,43.7772
3/8/2000,88.6598,153.313,186.25,11.45,1194.94,32.743,36.517,22.6261,60.3563,39.872,16.4041,44.0416
3/9/2000,89.1808,158.042,189.788,11.62,1213.1,33.5864,37.0614,23.0135,61.6241,40.8983,16.6299,44.6459
3/10/2000,88.573,158.769,189.493,11.56,1216.74,33.2763,36.9148,23.08,61.5386,40.7013,16.5654,44.4949
3/11/2000,88.573,158.769,189.493,11.56,1216.74,33.2763,36.9148,23.08,61.5386,40.7013,16.5654,44.4949
3/12/2000,88.573,158.769,189.493,11.56,1216.74,33.2763,36.9148,23.08,61.5386,40.7013,16.5654,44.4949
3/13/2000,87.0099,155.496,187.331,11.46,1202.21,33.1523,36.7054,22.9361,60.6412,40.372,16.4686,44.306
3/14/2000,84.5785,148.221,184.677,11.34,1198.58,32.5694,36.3704,22.6593,59.1454,39.6557,16.3718,44.0038
3/15/2000,83.797,144.948,187.331,11.79,1238.53,33.3632,36.9357,23.567,60.0429,40.6189,17.028,45.8546
3/16/2000,86.5757,150.585,194.407,12.38,1304.1,34.9507,38.1083,25.3049,62.7637,42.5536,17.8885,48.6119
3/17/2000,87.5309,151.677,196.177,12.19,1282.24,35.0995,38.0455,25.1721,63.6041,42.7182,17.6518,48.1965
3/18/2000,87.5309,151.677,196.177,12.19,1282.24,35.0995,38.0455,25.1721,63.6041,42.7182,17.6518,48.1965
3/19/2000,87.5309,151.677,196.177,12.19,1282.24,35.0995,38.0455,25.1721,63.6041,42.7182,17.6518,48.1965
3/20/2000,87.1836,145.766,194.702,12.07,1278.6,34.9135,37.7733,25.161,63.0486,42.5124,17.6626,47.9698
3/21/2000,88.0519,146.584,198.241,12.25,1300.45,35.7941,38.3177,26.0134,64.5585,43.5909,17.9423,48.9519
3/22/2000,90.0492,153.223,200.894,12.1,1300.45,35.9677,38.4433,26.4672,65.7409,43.7967,17.867,48.4609
3/23/2000,89.615,152.677,202.369,12.12,1311.38,36.6003,38.7155,26.7582,66.8805,44.5705,18.1897,49.5185
3/24/2000,89.2676,153.404,201.582,12.17,1318.67,36.6127,38.8202,26.5368,66.966,44.5788,18.1251,49.7073
3/25/2000,89.2676,153.404,201.582,12.17,1318.67,36.6127,38.8202,26.5368,66.966,44.5788,18.1251,49.7073
3/26/2000,89.2676,153.404,201.582,12.17,1318.67,36.6127,38.8202,26.5368,66.966,44.5788,18.1251,49.7073
3/27/2000,90.5702,153.313,201.091,12.1,1304.1,36.5257,38.5899,26.6033,66.7523,44.4717,18.0068,49.3296
3/28/2000,89.0071,150.858,198.83,12.06,1300.45,36.1404,38.3386,26.404,66.268,44.0025,17.9101,49.2918
3/29/2000,85.7942,145.675,196.865,12.19,1304.1,36.1653,38.2967,26.5258,65.7836,44.0354,18.1905,49.3674
3/30/2000,83.5365,140.674,193.621,12.27,1315.03,35.6682,38.4224,26.1051,64.4018,43.4344,18.2983,49.8539
3/31/2000,84.318,143.856,198.142,12.42,1336.88,35.9167,38.6527,26.3486,64.8435,43.7308,18.363,50.4994
4/1/2000,84.318,143.856,198.142,12.42,1336.88,35.9167,38.6527,26.3486,64.8435,43.7308,18.363,50.4994
4/2/2000,84.318,143.856,198.142,12.42,1336.88,35.9167,38.6527,26.3486,64.8435,43.7308,18.363,50.4994
4/3/2000,82.4944,135.4,196.865,12.49,1366.02,36.1031,38.7157,27.0461,63.946,43.9531,18.6865,51.1828
4/4/2000,82.7549,132.672,194.506,12.52,1362.38,35.8297,38.7157,27.0018,63.6041,43.632,18.5894,50.917
4/5/2000,84.4917,132.308,195.882,12.51,1362.38,35.6557,38.8208,26.7472,63.7466,43.418,18.4061,50.8031
4/6/2000,86.4889,136.218,198.535,12.67,1373.31,36.0037,39.0308,27.0461,64.6583,43.8214,18.6002,51.1069
4/7/2000,89.0071,140.492,201.189,12.68,1366.02,36.3517,39.3669,27.4225,66.0543,44.2495,18.5679,50.6512
4/8/2000,89.0071,140.492,201.189,12.68,1366.02,36.3517,39.3669,27.4225,66.0543,44.2495,18.5679,50.6512
4/9/2000,89.0071,140.492,201.189,12.68,1366.02,36.3517,39.3669,27.4225,66.0543,44.2495,18.5679,50.6512
4/10/2000,86.0547,134.217,198.044,12.72,1366.02,36.0659,39.1359,27.0777,64.5158,43.9202,18.6541,51.0309
4/11/2000,83.5365,131.399,196.668,12.82,1384.24,35.9789,39.0728,27.324,63.6326,43.8131,18.7619,51.4106
4/12/2000,79.2815,125.67,193.326,13.05,1387.88,35.1835,38.6737,27.3486,61.1967,42.8335,18.7404,51.4106
4/13/2000,77.8053,124.124,190.574,12.99,1373.31,34.5496,38.4216,26.8684,59.5443,42.0596,18.5571,51.0309
4/14/2000,71.9004,113.394,181.336,12.48,1304.1,32.5363,37.3713,25.2184,55.5842,39.6063,17.6837,48.3351
4/15/2000,71.9004,113.394,181.336,12.48,1304.1,32.5363,37.3713,25.2184,55.5842,39.6063,17.6837,48.3351
4/16/2000,71.9004,113.394,181.336,12.48,1304.1,32.5363,37.3713,25.2184,55.5842,39.6063,17.6837,48.3351
4/17/2000,78.5,117.759,183.793,12.54,1318.67,33.6051,37.6024,26.3758,58.5044,40.9071,17.8454,48.7148
4/18/2000,81.105,123.305,189.1,12.57,1336.88,34.5745,38.1696,26.8438,60.8121,42.0843,18.0503,49.2464
4/19/2000,78.5,122.123,189.1,12.5,1336.88,34.2389,38.1485,26.6098,59.9431,41.6727,18.1042,48.9806
4/20/2000,78.5,122.214,189.788,12.6,1351.45,34.4129,38.0645,26.7576,59.8434,41.8785,18.3091,49.5121
4/21/2000,78.5,122.214,189.788,12.6,1351.45,34.4129,38.0645,26.7576,59.8434,41.8785,18.3091,49.5121
4/22/2000,78.5,122.214,189.788,12.6,1351.45,34.4129,38.0645,26.7576,59.8434,41.8785,18.3091,49.5121
4/23/2000,78.5,122.214,189.788,12.6,1351.45,34.4129,38.0645,26.7576,59.8434,41.8785,18.3091,49.5121
4/24/2000,76.6764,119.668,188.216,12.73,1358.74,34.3011,38.0645,26.9792,59.2594,41.7468,18.46,50.0817
4/25/2000,80.4104,125.761,193.523,13.08,1398.81,35.432,38.9048,27.8042,61.4959,43.1381,18.8374,51.6384
4/26/2000,80.4104,123.942,192.835,12.89,1376.95,35.0468,38.6632,27.127,60.9261,42.6688,18.5571,50.955
4/27/2000,81.5392,127.034,194.211,12.84,1369.67,35.1338,38.7262,27.324,61.9375,42.7758,18.3846,50.4614
4/28/2000,82.3207,130.58,194.702,12.89,1362.38,34.8479,38.7052,26.696,61.966,42.4136,18.1473,50.5753
