as_of,B12997,B01157,B09833,B06061,B11293,B05947,B13835,B14040,B04313,B11222,B08385,B11999,B02396,B04312,B07347,B13177,B04841,B13086
1/1/2000,13.9055,10.934,24.5253,11.0364,22.4392,11.1366,54.3649,41.4075,43.6014,33.4463,24.6468,12.8745,21.7448,47.5852,9.44142,10.864,1212.26,64.6858
1/2/2000,13.9055,10.934,24.5253,11.0364,22.4392,11.1366,54.3649,41.4075,43.6014,33.4463,24.6468,12.8745,21.7448,47.5852,9.44142,10.864,1212.26,64.6858
1/3/2000,13.5387,10.8173,24.0271,10.8301,21.9596,10.8743,54.3649,40.9984,43.7096,33.9082,24.5669,12.624,21.2214,47.8824,9.40968,10.5345,1187.89,64.9568
1/4/2000,13.1163,10.4847,23.6001,10.5413,21.0429,10.6625,54.3649,39.4363,42.1809,32.5015,23.5364,12.2232,20.6979,46.3634,9.01298,10.3286,1131.01,61.5323
1/5/2000,13.183,10.5431,23.8705,10.665,20.916,10.7432,54.3649,38.8412,42.5868,32.1026,23.5218,12.2333,20.8111,46.5615,8.94951,10.4316,1122.89,60.7304
1/6/2000,13.2497,10.4906,24.1125,10.8094,20.5916,10.8239,54.3649,38.7545,41.5722,31.4937,23.1517,12.1631,20.9526,45.6369,8.8543,10.5448,1118.01,58.628
1/7/2000,13.5164,10.7764,24.6961,11.0157,21.3955,10.9449,54.3649,39.7338,43.0061,32.2915,23.9283,12.4537,21.4195,46.9908,9.2034,10.7096,1155.39,61.4347
1/8/2000,13.5164,10.7764,24.6961,11.0157,21.3955,10.9449,54.3649,39.7338,43.0061,32.2915,23.9283,12.4537,21.4195,46.9908,9.2034,10.7096,1155.39,61.4347
1/9/2000,13.5164,10.7764,24.6961,11.0157,21.3955,10.9449,54.3649,39.7338,43.0061,32.2915,23.9283,12.4537,21.4195,46.9908,9.2034,10.7096,1155.39,61.4347
1/10/2000,13.6832,11.0507,24.7246,11.0879,22.1148,11.0559,54.3649,40.5521,44.7378,33.3833,24.7266,12.6641,21.759,48.6089,9.45728,10.7714,1196.01,64.9893
1/11/2000,13.5942,10.8698,24.5111,10.9848,21.7481,10.9449,54.3649,39.709,43.2226,32.4385,24.146,12.4837,21.5892,47.1229,9.2986,10.6787,1186.26,63.2012
1/12/2000,13.4942,10.7764,24.4399,10.9745,21.5647,10.9248,54.3649,39.6099,42.6409,31.7876,23.8121,12.4036,21.5751,46.5615,9.33034,10.6375,1171.64,62.8869
1/13/2000,13.6943,11.0098,24.5822,11.1292,22.3687,11.0256,54.3649,40.2917,44.0884,32.1446,24.4363,12.624,21.8863,47.8824,9.52076,10.7302,1204.14,65.0976
1/14/2000,13.761,11.1965,24.6392,11.1704,22.7777,11.0761,54.3649,41.0604,44.7783,32.6275,24.7484,12.7643,21.9853,48.5429,9.79051,10.8023,1210.64,66.7882
1/15/2000,13.761,11.1965,24.6392,11.1704,22.7777,11.0761,54.3649,41.0604,44.7783,32.6275,24.7484,12.7643,21.9853,48.5429,9.79051,10.8023,1210.64,66.7882
1/16/2000,13.761,11.1965,24.6392,11.1704,22.7777,11.0761,54.3649,41.0604,44.7783,32.6275,24.7484,12.7643,21.9853,48.5429,9.79051,10.8023,1210.64,66.7882
1/17/2000,13.761,11.1965,24.6392,11.1704,22.7777,11.0761,54.3649,41.0604,44.7783,32.6275,24.7484,12.7643,21.9853,48.5429,9.79051,10.8023,1210.64,66.7882
