as_of,B14867,B10363,B14965,B09417,B07245,B04762,B12844,B09550,B15851,B14908,B13135,B06850,B00774,B00450,B03777,B05350,B02390,B15191,B06096,B11505
1/1/2000,112.542,56.737,166.354,34.0558,28.4428,30.7402,28.1778,14.0592,9.97527,16.8723,162.713,99.2692,38.2938,19.2007,14.3982,28.7085,94.4992,14.0622,5.35803,84.9581
1/2/2000,112.542,56.737,166.354,34.0558,28.4428,30.7402,28.1778,14.0592,9.97527,16.8723,162.713,99.2692,38.2938,19.2007,14.3982,28.7085,94.4992,14.0622,5.35803,84.9581
1/3/2000,112.054,56.486,165.803,33.8407,28.2852,30.7402,28.123,14.0015,9.94396,16.7949,161.709,98.7015,38.244,19.098,14.338,28.5579,93.8387,14.0068,5.30444,84.4768
1/4/2000,112.347,56.6115,164.332,33.9483,28.3482,30.7402,28.1285,14.0189,9.9544,16.7794,162.197,99.0259,38.244,19.165,14.3681,28.6573,94.0148,14.0093,5.33659,84.754
1/5/2000,111.76,56.3604,164.378,33.769,28.2221,30.3579,28.0436,13.9762,9.93353,16.6554,161.423,98.6204,38.0696,19.0623,14.3079,28.5379,93.3103,13.9539,5.29373,84.506
1/6/2000,112.054,56.6115,163.823,33.8766,28.2852,30.3579,28.0792,14.0085,9.93353,16.7019,161.912,98.8637,38.2191,19.108,14.338,28.6034,93.7066,14.0143,5.32588,84.6519
1/7/2000,112.249,56.737,164.564,34.02,28.3482,30.3579,28.0958,14.0456,9.9544,16.7794,162.172,99.0259,38.3437,19.1537,14.3681,28.6712,94.1029,14.0369,5.34731,84.827
1/8/2000,112.249,56.737,164.564,34.02,28.3482,30.3579,28.0958,14.0456,9.9544,16.7794,162.172,99.0259,38.3437,19.1537,14.3681,28.6712,94.1029,14.0369,5.34731,84.827
1/9/2000,112.249,56.737,164.564,34.02,28.3482,30.3579,28.0958,14.0456,9.9544,16.7794,162.172,99.0259,38.3437,19.1537,14.3681,28.6712,94.1029,14.0369,5.34731,84.827
1/10/2000,112.054,56.6115,165.489,33.9841,28.2852,30.3579,28.0711,14.0179,9.94396,16.7329,161.972,98.8637,38.2689,19.1146,14.338,28.6141,93.9268,14.0394,5.31516,84.7104
1/11/2000,111.565,56.3604,165.119,33.769,28.1905,30.3579,28.0465,13.9602,9.91266,16.6864,161.312,98.5393,38.1443,19.0543,14.2803,28.5257,93.5745,13.984,5.28301,84.3311
1/12/2000,111.369,56.2349,164.934,33.7332,28.159,30.3579,28.0219,13.9326,9.91266,16.6709,161.112,98.4582,38.0447,19.0364,14.2677,28.4685,93.4864,13.9286,5.2723,84.2144
1/13/2000,111.858,56.486,165.119,33.9483,28.2852,30.3579,28.0575,14.0099,9.93353,16.7484,161.716,98.7826,38.2191,19.1032,14.3304,28.5676,93.9268,13.989,5.30444,84.4916
1/14/2000,111.565,56.3604,165.489,33.8049,28.2536,30.3579,28.0494,13.9743,9.92309,16.7174,161.401,98.6204,38.1443,19.0641,14.3027,28.5417,93.7947,13.9965,5.28301,84.4188
1/15/2000,111.565,56.3604,165.489,33.8049,28.2536,30.3579,28.0494,13.9743,9.92309,16.7174,161.401,98.6204,38.1443,19.0641,14.3027,28.5417,93.7947,13.9965,5.28301,84.4188
1/16/2000,111.565,56.3604,165.489,33.8049,28.2536,30.3579,28.0494,13.9743,9.92309,16.7174,161.401,98.6204,38.1443,19.0641,14.3027,28.5417,93.7947,13.9965,5.28301,84.4188
1/17/2000,111.565,56.3604,165.489,33.8049,28.2536,30.3579,28.0494,13.9774,9.92309,16.7174,161.401,98.6204,38.1443,19.0641,14.3027,28.547,93.7947,13.9965,5.28301,84.4188
1/18/2000,111.174,56.2349,165.674,33.8049,28.1905,30.3579,28.0248,13.9347,9.90222,16.7174,161.086,98.4582,38.0447,19.025,14.2601,28.4586,93.5745,13.9412,5.25086,84.1708
1/19/2000,111.271,56.3604,165.859,33.9124,28.2221,30.3579,28.0304,13.967,9.91266,16.7639,161.23,98.5393,38.0945,19.0494,14.2776,28.5264,93.8827,13.9437,5.26158,84.3167
1/20/2000,111.174,56.2349,165.859,33.8407,28.1905,30.3579,28.0359,13.9394,9.90222,16.7329,161.145,98.3771,38.0198,19.0526,14.265,28.5018,93.6626,13.9462,5.26158,84.2
1/21/2000,111.174,56.2349,166.23,33.9124,28.2221,30.3579,28.0526,13.9613,9.90222,16.7639,161.174,98.4582,38.0447,19.0347,14.2674,28.5382,93.8827,13.9537,5.30562,84.2439
1/22/2000,111.174,56.2349,166.23,33.9124,28.2221,30.3579,28.0526,13.9613,9.90222,16.7639,161.174,98.4582,38.0447,19.0347,14.2674,28.5382,93.8827,13.9537,5.30562,84.2439
1/23/2000,111.174,56.2349,166.23,33.9124,28.2221,30.3579,28.0526,13.9613,9.90222,16.7639,161.174,98.4582,38.0447,19.0347,14.2674,28.5382,93.8827,13.9537,5.30562,84.2439
1/24/2000,111.662,56.486,166.23,34.0558,28.3388,30.3579,28.1184,14.0237,9.93353,16.8414,161.778,98.8637,38.2191,19.1015,14.33,28.6687,94.279,14.0141,5.33798,84.6523
1/25/2000,111.662,56.486,166.23,34.0558,28.3388,30.3579,28.154,14.026,9.94396,16.8801,161.807,98.9448,38.2689,19.1472,14.3325,28.7051,94.5433,14.0166,5.33798,84.7982
1/26/2000,111.76,56.6115,166.044,34.1275,28.3705,30.3579,28.1594,14.0434,9.94396,16.9268,162.066,99.0259,38.3187,19.1501,14.35,28.7416,94.7634,14.0191,5.34876,84.9441
1/27/2000,111.956,56.5236,165.859,34.0917,28.434,30.3579,28.1648,14.0457,9.94396,16.9736,162.21,99.107,38.3337,19.1534,14.3525,28.7467,95.1177,14.0216,5.38111,85.09
1/28/2000,111.858,56.5236,165.119,34.0558,28.4974,30.3579,28.1508,14.0827,9.93353,16.9424,162.675,99.1881,38.459,19.1779,14.3919,28.8144,95.2505,14.0291,5.40268,85.1339
1/29/2000,111.858,56.5236,165.119,34.0558,28.4974,30.3579,28.1508,14.0827,9.93353,16.9424,162.675,99.1881,38.459,19.1779,14.3919,28.8144,95.2505,14.0291,5.40268,85.1339
1/30/2000,111.858,56.5236,165.119,34.0558,28.4974,30.3579,28.1508,14.0827,9.93353,16.9424,162.675,99.1881,38.459,19.1779,14.3919,28.8144,95.2505,14.0291,5.40268,85.1339
1/31/2000,111.565,56.3974,165.119,33.9841,28.434,30.7237,28.1259,14.0416,9.92309,16.8645,162.243,99.0259,38.3337,19.1751,14.3642,28.7568,94.9406,13.9661,5.38111,84.74
2/1/2000,111.821,56.5236,165.489,34.0558,28.4974,30.7237,28.1317,14.0741,9.93353,16.958,162.621,99.1881,38.4339,19.2211,14.3818,28.8246,95.3391,14.0268,5.39189,85.0197
2/2/2000,111.956,56.5236,165.859,34.0558,28.4974,31.313,28.1375,14.0765,9.92309,17.0671,162.883,99.2692,38.4089,19.2459,14.3995,28.861,95.9148,14.0293,5.42425,85.0354
2/3/2000,112.542,56.776,166.415,34.2709,28.6244,31.313,28.204,14.1392,9.94396,17.2853,163.606,99.5936,38.6093,19.3133,14.4474,28.9602,96.9333,14.0901,5.4566,85.3151
2/4/2000,112.249,56.6498,166.6,34.1634,28.6244,31.313,28.1913,14.1161,9.93353,17.1918,163.292,99.4314,38.5341,19.2742,14.4198,28.9026,96.5347,14.0398,5.44581,85.2302
2/5/2000,112.249,56.6498,166.6,34.1634,28.6244,31.313,28.1913,14.1161,9.93353,17.1918,163.292,99.4314,38.5341,19.2742,14.4198,28.9026,96.5347,14.0398,5.44581,85.2302
2/6/2000,112.249,56.6498,166.6,34.1634,28.6244,31.313,28.1913,14.1161,9.93353,17.1918,163.292,99.4314,38.5341,19.2742,14.4198,28.9026,96.5347,14.0398,5.44581,85.2302
2/7/2000,111.76,56.5236,166.646,34.3068,28.4657,31.313,28.1366,14.0581,9.92309,17.0983,162.746,99.107,38.3587,19.1925,14.377,28.7822,96.1362,13.9842,5.40268,84.8499
2/8/2000,112.054,56.6498,167.205,34.3068,28.5926,31.313,28.1729,14.1057,9.94396,17.2074,163.218,99.2692,38.5091,19.2386,14.4098,28.8814,96.6676,14.045,5.44581,85.1296
2/9/2000,111.858,56.5236,166.832,34.2351,28.4657,31.313,28.1181,14.0779,9.93353,17.1451,162.788,99.0259,38.3337,19.1995,14.367,28.7924,96.2247,14.0476,5.41346,84.8813
2/10/2000,111.369,56.3974,166.832,34.1275,28.3705,31.313,28.0933,14.035,9.92309,17.0048,162.358,98.8637,38.2335,19.1817,14.3393,28.7348,95.6048,13.992,5.35954,84.5011
2/11/2000,111.565,56.5236,166.46,34.2351,28.434,31.313,28.1415,14.0722,9.93353,17.0515,162.62,99.0259,38.3086,19.2066,14.357,28.8026,95.8262,13.9998,5.38111,84.6802
2/12/2000,111.565,56.5236,166.46,34.2351,28.434,31.313,28.1415,14.0722,9.93353,17.0515,162.62,99.0259,38.3086,19.2066,14.357,28.8026,95.8262,13.9998,5.38111,84.6802
2/13/2000,111.565,56.5236,166.46,34.2351,28.434,31.313,28.1415,14.0722,9.93353,17.0515,162.62,99.0259,38.3086,19.2066,14.357,28.8026,95.8262,13.9998,5.38111,84.6802
